Period,"Product Name",Price,"Number of Views"
6/2015,"Benjamin Credenza","Rp 4,299,000",435
6/2015,"Oolong Side Table","Rp 829,000",318
6/2015,"Banoffee Side Table","Rp 699,000",256
6/2015,"Simo Dining Chair","Rp 999,000",251
7/2015,"Brandt Shelf","Rp 3,999,000",538
7/2015,"Orwell Credenza","Rp 4,199,000",462
7/2015,"Benjamin Credenza","Rp 4,299,000",414
7/2015,"Hunter Ceylon Bedroom Set","Rp 9,299,000",317
8/2015,"Archer Bedside Table","Rp 1,299,000",1207
8/2015,"Ando Double Bed (Veneer)","Rp 5,599,000",952
8/2015,"Franklin Credenza","Rp 3,999,000",946
8/2015,"Benjamin Credenza","Rp 4,299,000",944
8/2015,"Orwell Credenza","Rp 4,199,000",941
9/2015,"Archer Bedside Table","Rp 1,299,000",68
9/2015,"Orwell Credenza","Rp 4,199,000",60
9/2015,"Benjamin Credenza","Rp 4,299,000",53
9/2015,"Kanawa Queen Bed (Veneer)","Rp 6,399,000",51
9/2015,"Franklin Credenza","Rp 3,999,000",50
Total,,,8263
